phase,problem_key,problem,encoding,run,seed,final_best_fitness,best_solution,stopped_generation,function_evaluations,elite_size,mutation_probability
main,test_problem_1,Test Problem 1,binary,1,10001,1.7017825149736265e-05,"[0.99587475, 0.99176537]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,2,10002,0.2417327884882931,"[0.51068811, 0.25599957]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,3,10003,0.24173277421034903,"[0.51067639, 0.25599957]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,4,10004,0.00016644183851278666,"[1.0128855, 1.0260007]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,5,10005,0.2417327884882931,"[0.51068811, 0.25599957]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,6,10006,0.015376069364433042,"[0.87599972, 0.76737469]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,7,10007,0.010816057143057832,"[0.89599973, 0.80281513]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,8,10008,0.04000011914342779,"[0.7999997, 0.64000064]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,9,10009,6.43557315183062e-05,"[0.99198803, 0.98399975]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,10,10010,0.0347549607983602,"[1.1862498, 1.4080008]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,11,10011,0.08763101664133102,"[0.70399968, 0.49600061]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,12,10012,4.001003826920709e-06,"[0.99799975, 0.99600366]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,13,10013,0.24173277421034903,"[0.51067639, 0.25599957]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,14,10014,0.0008456863049852695,"[0.97200072, 0.94399974]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,15,10015,1.0000009765868132,"[-4.8828137e-07, 4.8828137e-07]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,16,10016,0.07006853619861607,"[1.2644979, 1.6000009]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,17,10017,0.05382414161323883,"[0.76799969, 0.58982387]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,18,10018,0.08052421168340854,"[0.7169196, 0.51199963]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,19,10019,6.7712049164875026e-12,"[1.0000007, 1.0000017]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,binary,20,10020,0.11560054928890755,"[1.3400008, 1.7956025]",225,22600,1,0.022727272727272728
main,test_problem_1,Test Problem 1,real,1,11001,0.0001024660191174046,"[0.98991133, 0.97984169]",225,22600,1,0.5
main,test_problem_1,Test Problem 1,real,2,11002,5.473446007872716e-05,"[0.99270121, 0.98557662]",225,22600,1,0.5
main,test_problem_1,Test Problem 1,real,3,11003,0.00017679785183179496,"[0.99595877, 0.99066712]",225,22600,1,0.5
main,test_problem_1,Test Problem 1,real,4,11004,3.3962074538957266e-05,"[0.99526748, 0.99021727]",225,22600,1,0.5
main,test_problem_1,Test Problem 1,real,5,11005,0.0001458866603456892,"[0.98792174, 0.97599418]",225,22600,1,0.5
main,test_problem_1,Test Problem 1,real,6,11006,0.00408582150653213,"[1.0617439, 1.1256464]",225,22600,1,0.5
main,test_problem_1,Test Problem 1,real,7,11007,7.364682853797254e-05,"[0.99585372, 0.99097327]",225,22600,1,0.5
main,test_problem_1,Test Problem 1,real,8,11008,2.7693722990090123e-05,"[1.0051178, 1.0103843]",225,22600,1,0.5
