phase,problem_key,problem,encoding,run,seed,final_best_fitness,best_solution,stopped_generation,function_evaluations,elite_size,mutation_probability
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,1,41001,0.0007770517656879861,"[-0.00037121543, -0.0010280993, 0.00033424146, -0.0013881831, 0.00082656318]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,2,41002,0.00865572161345085,"[0.0011772151, -0.0023894999, -0.0057060398, 0.001907339, -0.00058362521]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,3,41003,0.00038353353553333136,"[0.0011544071, 0.00029880937, 0.00013531438, -7.0460446e-05, 0.00069856922]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,4,41004,0.0027577164720611336,"[3.8075028e-05, 0.0033101418, 0.00073684139, 0.00089568808, 0.0012637477]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,5,41005,0.001671574888042926,"[-0.00068454989, -0.0023699709, 0.0014709046, -2.590303e-05, -0.00041967871]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,6,41006,0.005713098835741448,"[0.0013752425, 0.00066883564, 0.00034694196, -0.005015674, -0.0010877089]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,7,41007,0.0012717951452998477,"[0.001545818, 0.00046464954, -0.0018176402, 0.00052200358, -0.00047834327]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,8,41008,0.004874549385434079,"[0.00095023011, -0.0048494464, 0.0002593167, -0.00028010473, 7.951524e-05]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,9,41009,0.0031051302693256844,"[-0.00013924047, 0.00010262798, 0.00034515596, -0.0021311028, 0.003310784]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,10,41010,0.00010652194337978926,"[0.00021032875, -0.00032464532, -0.00011507532, -0.00045481993, 0.0004088892]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,11,41011,0.002547776133866364,"[0.0025852787, 0.0017395403, -0.0016033282, -0.00061351795, 0.00043080348]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,12,41012,0.002415278725820258,"[0.00038891494, -0.0024352815, -0.0024196491, -0.00040662716, 0.00026944094]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,13,41013,0.0010677444708022676,"[8.5482197e-05, 0.00028656329, 0.00048777654, 0.00081786024, 0.0020942323]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,14,41014,0.0007822270308395218,"[-0.0002165092, -0.0017078806, 0.00091382131, 0.0002845462, -0.00025118842]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,15,41015,0.004355543840325993,"[0.00068007396, 0.0014016792, -0.0013292098, 0.0038898527, 0.0016217457]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,16,41016,0.0014764152533004449,"[0.001808745, -0.00025972439, 0.00019177632, 0.0020078647, -0.00018622646]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,17,41017,0.00226217940335971,"[-0.0033157384, 9.2443928e-05, -9.0074954e-05, -0.00055554712, 0.00028905262]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,18,41018,0.002899875062816193,"[0.00210745, 0.0010107221, -0.00012691198, 0.0020056833, 0.002261707]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,19,41019,0.0020476568181280186,"[-0.0026744612, -0.00037488841, -4.3726298e-05, 0.00094937586, 0.0014577163]",450,45100,1,0.2
GA with elitism,rastrigin_n5,"Rastrigin function, n=5",real,20,41020,0.0006273302276866843,"[1.6120484e-05, -0.0011964967, -0.00066987211, -0.00082090776, 0.0007794873]",450,45100,1,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,1,41001,0.740284584697001,"[-0.00685418, 0.049339289, -0.00069409683, 0.034735474, -0.0081949516]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,2,41002,0.5554262373087298,"[0.0032249875, -0.0079810348, -0.034708719, -0.020913759, -0.033056716]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,3,41003,0.3841204335540098,"[-0.021356227, -0.015387901, 0.0062427846, 0.033991004, 0.0073602299]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,4,41004,0.7870012987651194,"[0.004244423, -0.02694445, -0.0097595129, -0.021245254, 0.051985709]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,5,41005,0.43210509969419775,"[-0.013409343, 0.020683459, 0.013752899, -0.01836153, -0.032387064]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,6,41006,0.15067348952977255,"[-0.0067102445, -0.002061286, -0.021908075, 0.010817096, 0.010680419]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,7,41007,0.21558399074454826,"[-0.00092543902, -0.010199587, -0.0078818046, -0.0083104385, 0.029206587]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,8,41008,0.1448206589535488,"[0.010966172, -0.016526844, -0.0031967758, -0.004970212, -0.017385303]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,9,41009,0.40825754721468144,"[0.033758804, 0.0051131614, 0.013120717, 0.0094261766, -0.025233321]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,10,41010,1.061427903871845,"[-0.0046670852, -0.029767681, 0.023155471, -0.060667285, -0.016536046]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,11,41011,0.6036290683804708,"[0.032649784, -0.043445228, -0.0075969669, -0.002377947, -0.0064113386]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,12,41012,0.631518880030626,"[-0.020656651, 0.0054888789, -0.0012621123, 0.020997896, 0.047983226]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,13,41013,0.3263493987937167,"[0.0094435977, 0.014732093, 0.014322916, 0.010102623, 0.032177682]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,14,41014,0.2028515580234469,"[-0.016703537, 0.018799593, 0.0064179416, -0.002490641, -0.018539351]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,15,41015,0.6653524578145777,"[-0.037882008, 0.024417246, 0.03611875, -0.0054998934, -0.0010575316]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,16,41016,0.683021946048683,"[-0.017705187, 0.029755575, 0.031316199, -0.022147588, 0.027955558]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,17,41017,1.3657554006394506,"[0.012310628, 0.039363544, -0.00044984521, 0.0054500383, 1.0070421]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,18,41018,0.3149020374594329,"[-0.016932717, 0.0038544638, -0.024890802, 0.012189424, -0.022804501]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,19,41019,0.2866519777264642,"[0.0050146083, 0.025214255, -0.022999786, -0.0073114202, 0.014279665]",450,45100,0,0.2
GA without elitism,rastrigin_n5,"Rastrigin function, n=5",real,20,41020,0.80237887971672,"[0.027987882, 0.0021751553, 0.018469748, 0.020133903, -0.050336068]",450,45100,0,0.2
