phase,problem_key,problem,encoding,run,seed,final_best_fitness,best_solution,stopped_generation,function_evaluations,elite_size,mutation_probability
pilot,test_problem_1,Test Problem 1,binary,1,1001,0.018828186332424893,"[0.86299972, 0.74399969]",100,10100,1,0.022727272727272728
pilot,test_problem_1,Test Problem 1,binary,2,1002,0.07840142142304118,"[1.2800008, 1.6385009]",100,10100,1,0.022727272727272728
pilot,test_problem_1,Test Problem 1,binary,3,1003,0.040000119020642176,"[0.7999997, 0.63999966]",100,10100,1,0.022727272727272728
pilot,test_problem_1,Test Problem 1,real,1,2001,5.703956395877431e-05,"[0.99686147, 0.99304584]",186,18700,1,0.5
pilot,test_problem_1,Test Problem 1,real,2,2002,0.0005165258808456758,"[0.98297866, 0.96474107]",160,16100,1,0.5
pilot,test_problem_1,Test Problem 1,real,3,2003,0.000269914021143844,"[1.0163772, 1.033153]",100,10100,1,0.5
pilot,ackley_n2,"Ackley function, n=2",binary,1,6001,1.9531377053461085e-06,"[-4.8828125e-07, -4.8828125e-07]",100,10100,1,0.019230769230769232
pilot,ackley_n2,"Ackley function, n=2",binary,2,6002,1.9531377195569632e-06,"[4.8828126e-07, -4.8828125e-07]",100,10100,1,0.019230769230769232
pilot,ackley_n2,"Ackley function, n=2",binary,3,6003,1.953137733767818e-06,"[4.8828126e-07, 4.8828126e-07]",100,10100,1,0.019230769230769232
pilot,ackley_n2,"Ackley function, n=2",real,1,7001,0.009953428087392968,"[-0.0034096285, 2.1249506e-06]",147,14800,1,0.5
pilot,ackley_n2,"Ackley function, n=2",real,2,7002,0.003334098887578296,"[0.0010255152, 0.00055482847]",187,18800,1,0.5
pilot,ackley_n2,"Ackley function, n=2",real,3,7003,0.002132691876596926,"[-0.00038888954, -0.00063982833]",345,34600,1,0.5
pilot,rastrigin_n5,"Rastrigin function, n=5",binary,1,11001,2.230730844292175,"[-3.051758e-07, -0.99495825, 3.051758e-07, -0.95999975, 3.051758e-07]",131,13200,1,0.008333333333333333
pilot,rastrigin_n5,"Rastrigin function, n=5",binary,2,11002,6.23073288707468,"[2.0000004, 3.051758e-07, -0.99500036, -0.95999975, -3.051758e-07]",117,11800,1,0.008333333333333333
pilot,rastrigin_n5,"Rastrigin function, n=5",binary,3,11003,3.2256899013569296,"[3.051758e-07, -0.99495886, -3.051758e-07, -0.95999975, -0.99495886]",150,15100,1,0.008333333333333333
pilot,rastrigin_n5,"Rastrigin function, n=5",real,1,12001,0.003002690442897915,"[0.001870327, 0.00086556621, 0.0026652491, -0.0018646394, 0.00055463359]",412,41300,1,0.2
pilot,rastrigin_n5,"Rastrigin function, n=5",real,2,12002,0.03939720823083803,"[0.0099798535, -0.0066721132, -0.0030053165, 0.0011623347, -0.0066430895]",212,21300,1,0.2
pilot,rastrigin_n5,"Rastrigin function, n=5",real,3,12003,0.0005873373994376152,"[0.0003755022, -0.00093091963, 0.0013968302, -2.8802948e-05, 3.0424594e-05]",401,40200,1,0.2
